name,dedication
Филиал Вологодской библиотеки им. И. В. Бабушкина,им. И. В. Бабушкина
Софринская библиотека им. Ф. И. Тютчева,им. Ф. И. Тютчева
Библиотека им. А. Ф. Краснова г. Комсомольска-на-Амуре,им. А. Ф. Краснова
Библиотека № 1 им. П. А. Столыпина,им. П. А. Столыпина
Городская библиотека № 4 им. В. П. Астафьева,им. В. П. Астафьева
Центральная городская библиотека им. В. Маяковского,им. В. В. Маяковского
Центральная районная детская библиотека им. В. Г. Белинского г. Нижнего Новгорода,им. В. Г. Белинского
Центральная межпоселенческая библиотека им. П. А. Сорокина,им. П. А. Сорокина
Борисоглебская детская городская библиотека им. Ю. Ф. Третьякова,им. Ю. Ф. Третьякова
Центральная городская библиотека им. А. С. Пушкина города Туапсе,им. А. С. Пушкина
Библиотека им. А. В. Селиванова г. Сергиева Посада,им. А. В. Селиванова
Национальная библиотека им. А. С. Пушкина Республики Тыва,им. А. С. Пушкина
Верхнетагильская городская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Центральная районная библиотека им. И. Н. Сабирова,им. И. Н. Сабирова
Детская библиотека им. А. П. Гайдара г. Орла,им. А. П. Гайдара
Библиотека № 17 им. Ф. Ф. Павленкова с. Фоки,им. Ф. Ф. Павленкова
Крымская республиканская детская библиотека им. В. Н. Орлова,им. В. Н. Орлова
Посадский отдел обслуживания им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
