UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,COMMENTS,GROUP_ID,GROUP_ORDER
0c7099e4-976c-40c0-a23a-7353e77bdaf8,Book 8,Pylus,char-offset:37848,PLACE,,,,,UNVERIFIED,,,,
8c4f2329-c1da-4b70-8dcd-88e8262db38d,Book 2,Thapsacus,char-offset:48370,PLACE,http://pleiades.stoa.org/places/674270,31.5,44.5,unlocated,VERIFIED,,,,
6287ae2b-0aec-4248-9083-44c64f4868cb,Book 5,Aricia,char-offset:80028,PLACE,http://pleiades.stoa.org/places/422844,41.7211083,12.6726413,settlement,VERIFIED,,,,
68076b0b-916a-4ece-9887-87c7faf02ba3,Book 4,GAUL. THE BELGÆ.,char-offset:49252,PLACE,http://pleiades.stoa.org/places/992075,47.5,-2.5,province,VERIFIED,,,,
2392f4be-5be0-4907-a535-e953281687df,Book 15,Media,char-offset:105332,PLACE,http://www.imperium.ahlfeldt.se/places/40685,,,,UNVERIFIED,,,,
50931116-8951-4046-8c8e-f68118211110,Book 4,Keltica,char-offset:67418,PLACE,,,,,NOT_IDENTIFIABLE,,,,
52a84532-66a7-4dfc-af4d-2e4e94ba10e3,Book 1,Hyperboreans,char-offset:163845,PLACE,http://pleiades.stoa.org/places/20489,53.826,-2.422,water-open,VERIFIED,,,,
0e665609-b48b-4306-ab98-f6f11fc8c989,Book 5,Ariminum,char-offset:25242,PLACE,http://pleiades.stoa.org/places/393379,44.05963,12.57028,settlement,VERIFIED,,,,
1eef9887-78ed-4cc1-a3f3-588d42324e77,Book 4,Ligurians,char-offset:18073,PLACE,http://pleiades.stoa.org/places/383698,44.22656549434755,9.235707726672372,region,VERIFIED,,,,
a0dcd43a-627b-4723-9859-b39b89a2a01b,Book 2,Gulf of the Pontus,char-offset:156087,PLACE,http://pleiades.stoa.org/places/1224,43.0786852,34.7425505,water-open,VERIFIED,,,,
